ID,date,DnInv,VC,Item,code,In,Out,Balance
15,6/11/2019,176,Rehana Sharm,???? ?????? ??? ?????,8044,0,24,0
16,6/11/2019,176,Rehana Sharm,????? ????? 60??,8156,0,28,0
17,6/11/2019,177,Rehana Royal,????? ???? ????? ????,62144,0,14000,0
18,6/11/2019,177,Rehana Royal,????? ????,62155,0,1000,0
19,6/11/2019,177,Rehana Royal,????? ???? 110 ??,70152,0,50000,335000
20,6/11/2019,177,Rehana Royal,???? ????,62154,0,16000,18000
21,6/11/2019,177,Rehana Royal,????? ?????40??,8158,0,14,24
22,6/16/2019,150,Medstar,??? ???? 1 ???,20751,0,0,504
23,6/10/2019,174,Sunrise Arabian Beach,??? ???? ??????,66177,0,600,1380
24,6/10/2019,175,Grand Plaza,??? ??????? ???? 300??3,67174,0,600,1800
25,6/10/2019,175,Grand Plaza,????? ?????? ?????  96 ??,78153,0,6000,93000
26,6/14/2019,178,Coral Sea Orintal,????? ?????? ?????  96 ??,78153,0,30000,63000
27,6/14/2019,179,Parrotel Beach,??? ???? ??????,66177,0,480,900
28,6/14/2019,179,Parrotel Beach,????? ?????? ?????  96 ??,78153,0,9000,54000
29,6/14/2019,180,Parrotel Aqua Park,????? ?????? ?????  96 ??,78153,0,54000,0
30,6/17/2019,181,Regincy Plaza,??? ???? 1 ???,20751,0,470,-2
31,6/17/2019,182,Aeroangel,???? ?????? ???? 75×75 ×30 ??,54251,0,10000,32000
32,6/17/2019,182,Aeroangel,???? ???? ????? ??????,60255,0,2000,-16000
33,6/17/2019,182,Aeroangel,???? ?????? ???? 90 × 90 × 30 ??,54253,0,1000,1000
34,6/17/2019,182,Aeroangel,????? ???? ????,56280,0,4000,0
35,6/18/2019,183,Medstar,??? ???? ??????,66177,0,0,180
36,6/18/2019,183,Medstar,??? ???? 300 ??,66176,0,-192,240
37,6/18/2019,183,Medstar,??? ???? 180 ??,66175,0,0,480
38,6/18/2019,183,Medstar,????? ???? 110 ??,70152,0,0,285000
39,6/18/2019,184,Rehana Royal,?? ?????? 120??,72322,0,50,175
40,6/19/2019,2,Medstar,??? ???? 300 ??,66176,0,4962,288
41,6/18/2019,183,Chamilion Aqua Park,??? ???? 180 ??,66175,0,360,840
42,6/18/2019,183,Chamilion Aqua Park,??? ???? 300 ??,66176,0,0,96
43,6/30/2019,306,Medstar,???? ?????? ???? 75×75 ×30 ??,54251,-3000,0,29000
44,6/30/2019,306,Medstar,???? ?????? ???? 90 × 90 × 30 ??,54253,-1000,0,0
45,6/30/2019,306,Medstar,???? ???? ????? ????,60272,-500,0,0
46,6/30/2019,306,Medstar,????? ???? ????? ????,62144,60000,0,60000
47,6/30/2019,306,Medstar,???? ????,62154,16000,0,40000
48,6/30/2019,306,Medstar,????? ????,62155,18000,0,18000
49,6/30/2019,306,Medstar,??? ???? ????  250 ??3,66171,-1944,0,1224
50,6/30/2019,306,Medstar,??? ???? 300 ??,66176,2448,0,2736
51,6/30/2019,306,Medstar,??? ???? ??????,66177,-780,0,120
52,6/30/2019,306,Medstar,????? ???? 110 ??,70152,335000,0,670000
53,6/30/2019,306,Medstar,????? ?????? ?????  96 ??,78153,222000,0,222000
54,6/30/2019,306,Medstar,????? ???? ??? ??? ????,80261,500,0,1000
55,6/30/2019,306,Medstar,???? ???? ????? ??????,60255,-4000,0,0
56,6/30/2019,306,Medstar,??? ???? ???????,22160,-199,0,0
57,6/30/2019,306,Medstar,?? ??? ????,78313,-120,0,0
58,6/30/2019,306,Medstar,?? ?????? 120??,72322,-1,0,174
59,6/30/2019,306,Medstar,???? ??????? ????? ?????,8081,-7,0,5
60,6/30/2019,306,Medstar,???? ?????? ???? 90 × 155× 30 ??,54255,1000,0,1000
61,6/30/2019,306,Medstar,??? ???? ????,22763,336,0,336
62,6/30/2019,306,Medstar,???? ??? ????? ????,82253,250,0,250
63,6/30/2019,306,Medstar,???? ???? ???????,84254,180,0,180
64,6/30/2019,306,Medstar,??? ????? ????,80185,250,0,250
65,6/30/2019,306,Medstar,??? ?????? ????,59156,2400,0,2400
66,6/30/2019,306,Medstar,???? ???? ???????,84254,90,0,270
67,6/30/2019,306,Medstar,????? ???? 150,59167,5500,0,5500
68,7/8/2019,8,Medstar,??? ???? ??????,66177,4800,0,4920
69,7/8/2019,8,Medstar,??? ???? ??? 200 ??3,59153,25000,0,25000
70,7/8/2019,8,Medstar,??? ??????? ???? 300??3,67174,1200,0,3000
71,7/8/2019,8,Medstar,??? ????? ??????,77153,3000,0,3000
72,7/8/2019,8,Medstar,???? ?????? ???? 90 × 90 × 30 ??,54253,2000,0,2000
73,7/8/2019,8,Medstar,??? ?????????? ???? 75 ??3,77251,200000,0,200000
74,7/8/2019,8,Medstar,???? ???? ??? 1 ???,51364,200,0,200
75,7/8/2019,8,Medstar,???? ???? ????? ????,60272,500,0,500
76,7/8/2019,8,Medstar,??? ??????? ????,66169,2500,0,2500
77,7/8/2019,8,Medstar,????? ?????? ?????  96 ??,78153,120000,0,360000
78,7/8/2019,8,Medstar,????? ????,62155,15000,0,33000
79,7/8/2019,8,Medstar,???? ??? 1 ???,51360,200,0,200
80,7/8/2019,8,Medstar,????? ???? 110 ??,70152,100000,0,770000
81,7/8/2019,8,Medstar,????? ????? 60??,8156,170,0,170
82,7/8/2019,8,Medstar,?? ??? ????,78313,600,0,600
83,7/8/2019,8,Medstar,???? ??????? ????? ?????,8081,144,0,149
84,7/8/2019,8,Medstar,????? ?????40??,8158,96,0,120
85,7/8/2019,198,Orintal,??? ???? 300 ??,66176,0,1056,1680
86,7/8/2019,199,Orintal,????? ???? 110 ??,70152,0,50000,720000
87,7/8/2019,199,Orintal,??? ?????????? ???? 75 ??3,77251,0,10000,190000
88,7/8/2019,200,Rehana Sharm,???? ??????? ????? ?????,8081,0,108,41
89,7/8/2019,200,Rehana Sharm,????? ????? 60??,8156,0,108,62
