"ID","date","DnInv","VC","Item","code","In","Out","Balance"
15,6/11/2019 0:00:00,176,"Rehana Sharm","فرشه ماتدور وسط ناعمه","8044",0,24,0
16,6/11/2019 0:00:00,176,"Rehana Sharm","مساحه الشبح 60سم","8156",0,28,0
17,6/11/2019 0:00:00,177,"Rehana Royal","ملعقة ستار كبيرة ابيض","62144",0,14000,0
18,6/11/2019 0:00:00,177,"Rehana Royal","سكينه ستار","62155",0,1000,0
19,6/11/2019 0:00:00,177,"Rehana Royal","ملعقة ستيك 110 مم","70152",0,50000,335000
20,6/11/2019 0:00:00,177,"Rehana Royal","شوكه ستار","62154",0,16000,18000
21,6/11/2019 0:00:00,177,"Rehana Royal","مساحه ماستر40سم","8158",0,14,24
22,6/16/2019 0:00:00,150,"Medstar","كوب كلاس 1 روز","20751",0,0,504
23,6/10/2019 0:00:00,174,"Sunrise Arabian Beach","كوب عصير مارينا","66177",0,600,1380
24,6/10/2019 0:00:00,175,"Grand Plaza","كوب إليجانت شفاف 300سم3","67174",0,600,1800
25,6/10/2019 0:00:00,175,"Grand Plaza","ملعقة جيلاتى ألوان  96 مم","78153",0,6000,93000
26,6/14/2019 0:00:00,178,"Coral Sea Orintal","ملعقة جيلاتى ألوان  96 مم","78153",0,30000,63000
27,6/14/2019 0:00:00,179,"Parrotel Beach","كوب عصير مارينا","66177",0,480,900
28,6/14/2019 0:00:00,179,"Parrotel Beach","ملعقة جيلاتى ألوان  96 مم","78153",0,9000,54000
29,6/14/2019 0:00:00,180,"Parrotel Aqua Park","ملعقة جيلاتى ألوان  96 مم","78153",0,54000,0
30,6/17/2019 0:00:00,181,"Regincy Plaza","كوب كلاس 1 روز","20751",0,470,-2
31,6/17/2019 0:00:00,182,"Aeroangel","باول فاكيوم أبيض 75×75 ×30 مم","54251",0,10000,32000
32,6/17/2019 0:00:00,182,"Aeroangel","سناك بوكس ايزيس بولمان ","60255",0,2000,-16000
33,6/17/2019 0:00:00,182,"Aeroangel","باول فاكيوم أبيض 90 × 90 × 30 مم","54253",0,1000,1000
34,6/17/2019 0:00:00,182,"Aeroangel","فنجان ستار أبيض","56280",0,4000,0
35,6/18/2019 0:00:00,183,"Medstar","كوب عصير مارينا","66177",0,0,180
36,6/18/2019 0:00:00,183,"Medstar","كوب عصير 300 سم","66176",0,-192,240
37,6/18/2019 0:00:00,183,"Medstar","كوب عصير 180 سم","66175",0,0,480
38,6/18/2019 0:00:00,183,"Medstar","ملعقة ستيك 110 مم","70152",0,0,285000
39,6/18/2019 0:00:00,184,"Rehana Royal","يد اوميجا 120سم","72322",0,50,175
40,6/19/2019 0:00:00,2,"Medstar","كوب عصير 300 سم","66176",0,4962,288
41,6/18/2019 0:00:00,183,"Chamilion Aqua Park","كوب عصير 180 سم","66175",0,360,840
42,6/18/2019 0:00:00,183,"Chamilion Aqua Park","كوب عصير 300 سم","66176",0,0,96
43,6/30/2019 0:00:00,306,"Medstar","باول فاكيوم أبيض 75×75 ×30 مم","54251",-3000,0,29000
44,6/30/2019 0:00:00,306,"Medstar","باول فاكيوم أبيض 90 × 90 × 30 مم","54253",-1000,0,0
45,6/30/2019 0:00:00,306,"Medstar","لانش بوكس الشرق شفاف","60272",-500,0,0
46,6/30/2019 0:00:00,306,"Medstar","ملعقة ستار كبيرة ابيض","62144",60000,0,60000
47,6/30/2019 0:00:00,306,"Medstar","شوكه ستار","62154",16000,0,40000
48,6/30/2019 0:00:00,306,"Medstar","سكينه ستار","62155",18000,0,18000
49,6/30/2019 0:00:00,306,"Medstar","كوب عصير لايت  250 سم3","66171",-1944,0,1224
50,6/30/2019 0:00:00,306,"Medstar","كوب عصير 300 سم","66176",2448,0,2736
51,6/30/2019 0:00:00,306,"Medstar","كوب عصير مارينا","66177",-780,0,120
52,6/30/2019 0:00:00,306,"Medstar","ملعقة ستيك 110 مم","70152",335000,0,670000
53,6/30/2019 0:00:00,306,"Medstar","ملعقة جيلاتى ألوان  96 مم","78153",222000,0,222000
54,6/30/2019 0:00:00,306,"Medstar","قاعدة علبة أيس كيك شفاف","80261",500,0,1000
55,6/30/2019 0:00:00,306,"Medstar","سناك بوكس ايزيس بولمان ","60255",-4000,0,0
56,6/30/2019 0:00:00,306,"Medstar","طبق غويط اكروسان","22160",-199,0,0
57,6/30/2019 0:00:00,306,"Medstar","يد خشب عاده","78313",-120,0,0
58,6/30/2019 0:00:00,306,"Medstar","يد اوميجا 120سم","72322",-1,0,174
59,6/30/2019 0:00:00,306,"Medstar","فرشه هارموني كبيره ناعمه","8081",-7,0,5
60,6/30/2019 0:00:00,306,"Medstar","باول فاكيوم أبيض 90 × 155× 30 مم","54255",1000,0,1000
61,6/30/2019 0:00:00,306,"Medstar","طبق كلاس مسطح ","22763",336,0,336
62,6/30/2019 0:00:00,306,"Medstar","غطاء طبق صنداي صغير","82253",250,0,250
63,6/30/2019 0:00:00,306,"Medstar","علبه فروت مستطيله","84254",180,0,180
64,6/30/2019 0:00:00,306,"Medstar","طبق صنداي صغير","80185",250,0,250
65,6/30/2019 0:00:00,306,"Medstar","كوب فولاري شفاف","59156",2400,0,2400
66,6/30/2019 0:00:00,306,"Medstar","علبه فروت مستطيله","84254",90,0,270
67,6/30/2019 0:00:00,306,"Medstar","فنجان تركي 150","59167",5500,0,5500
68,7/8/2019 0:00:00,8,"Medstar","كوب عصير مارينا","66177",4800,0,4920
69,7/8/2019 0:00:00,8,"Medstar","كوب شفاف ايس 200 سم3","59153",25000,0,25000
70,7/8/2019 0:00:00,8,"Medstar","كوب إليجانت شفاف 300سم3","67174",1200,0,3000
71,7/8/2019 0:00:00,8,"Medstar","كوب جراند مدستار","77153",3000,0,3000
72,7/8/2019 0:00:00,8,"Medstar","باول فاكيوم أبيض 90 × 90 × 30 مم","54253",2000,0,2000
73,7/8/2019 0:00:00,8,"Medstar","كوب لوليتــــا توين 75 سم3","77251",200000,0,200000
74,7/8/2019 0:00:00,8,"Medstar","غطاء علبه ويف 1 عين","51364",200,0,200
75,7/8/2019 0:00:00,8,"Medstar","لانش بوكس الشرق شفاف","60272",500,0,500
76,7/8/2019 0:00:00,8,"Medstar","كوب ريفييرا صغير","66169",2500,0,2500
77,7/8/2019 0:00:00,8,"Medstar","ملعقة جيلاتى ألوان  96 مم","78153",120000,0,360000
78,7/8/2019 0:00:00,8,"Medstar","سكينه ستار","62155",15000,0,33000
79,7/8/2019 0:00:00,8,"Medstar"," علبه ويف 1 عين","51360",200,0,200
80,7/8/2019 0:00:00,8,"Medstar","ملعقة ستيك 110 مم","70152",100000,0,770000
81,7/8/2019 0:00:00,8,"Medstar","مساحه الشبح 60سم","8156",170,0,170
82,7/8/2019 0:00:00,8,"Medstar","يد خشب عاده","78313",600,0,600
83,7/8/2019 0:00:00,8,"Medstar","فرشه هارموني كبيره ناعمه","8081",144,0,149
84,7/8/2019 0:00:00,8,"Medstar","مساحه ماستر40سم","8158",96,0,120
85,7/8/2019 0:00:00,198,"Orintal","كوب عصير 300 سم","66176",0,1056,1680
86,7/8/2019 0:00:00,199,"Orintal","ملعقة ستيك 110 مم","70152",0,50000,720000
87,7/8/2019 0:00:00,199,"Orintal","كوب لوليتــــا توين 75 سم3","77251",0,10000,190000
88,7/8/2019 0:00:00,200,"Rehana Sharm","فرشه هارموني كبيره ناعمه","8081",0,108,41
89,7/8/2019 0:00:00,200,"Rehana Sharm","مساحه الشبح 60سم","8156",0,108,62
90,7/8/2019 0:00:00,200,"Rehana Sharm","يد خشب عاده","78313",0,416,184
91,7/8/2019 0:00:00,200,"Rehana Sharm","ملعقة ستيك 110 مم","70152",0,35000,685000
92,7/8/2019 0:00:00,200,"Rehana Sharm","شوكه ستار","62154",0,6000,34000
93,7/8/2019 0:00:00,200,"Rehana Sharm","سكينه ستار","62155",0,5000,28000
94,7/8/2019 0:00:00,201,"Rehana Royal","فرشه هارموني كبيره ناعمه","8081",0,41,0
95,7/8/2019 0:00:00,201,"Rehana Royal","فرشه ماتدور كبيره ناعمه","8050",0,18,0
96,7/8/2019 0:00:00,201,"Rehana Royal","مساحه الشبح 60سم","8156",0,60,2
97,7/8/2019 0:00:00,201,"Rehana Royal","مساحه ماستر40سم","8158",0,60,60
98,7/8/2019 0:00:00,201,"Rehana Royal","يد خشب عاده","78313",0,180,4
99,7/8/2019 0:00:00,201,"Rehana Royal","ملعقة ستيك 110 مم","70152",0,100000,585000
100,7/8/2019 0:00:00,201,"Rehana Royal","شوكه ستار","62154",0,20000,14000
101,7/8/2019 0:00:00,201,"Rehana Royal","سكينه ستار","62155",0,10000,18000
102,7/8/2019 0:00:00,201,"Rehana Royal","ملعقة ستار كبيرة ابيض","62144",0,20000,40000
103,7/8/2019 0:00:00,202,"Coral Sea Orintal","كوب لوليتــــا توين 75 سم3","77251",0,30000,160000
104,7/8/2019 0:00:00,202,"Coral Sea Orintal","ملعقة جيلاتى ألوان  96 مم","78153",0,72000,300000
105,7/8/2019 0:00:00,203,"Sunrise Arabian Beach","كوب عصير مارينا","66177",0,600,4320
106,7/8/2019 0:00:00,203,"Sunrise Arabian Beach","كوب عصير لايت  250 سم3","66171",0,216,1008
107,7/8/2019 0:00:00,204,"Chamilion Aqua Park","ملعقة ستيك 110 مم","70152",0,40000,545000
108,7/8/2019 0:00:00,204,"Chamilion Aqua Park","طبق كلاس مسطح ","22763",0,120,216
109,7/8/2019 0:00:00,204,"Chamilion Aqua Park","كوب عصير 180 سم","66175",0,240,600
110,7/8/2019 0:00:00,204,"Chamilion Aqua Park","كوب لوليتــــا توين 75 سم3","77251",0,2000,158000
111,7/8/2019 0:00:00,205,"Grand Plaza","ملعقة ستيك 110 مم","70152",0,50000,495000
112,7/8/2019 0:00:00,205,"Grand Plaza","ملعقة جيلاتى ألوان  96 مم","78153",0,12000,240000
113,7/8/2019 0:00:00,205,"Grand Plaza","كوب إليجانت شفاف 300سم3","67174",0,1200,1800
114,7/8/2019 0:00:00,205,"Grand Plaza","كوب لوليتــــا توين 75 سم3","77251",0,5000,153000
115,7/8/2019 0:00:00,206,"Rixos Seagate","كوب شفاف ايس 200 سم3","59153",0,25000,0
116,7/8/2019 0:00:00,207,"Parrotel Beach","سكينه ستار","62155",0,10000,8000
117,7/8/2019 0:00:00,207,"Parrotel Beach","كوب عصير مارينا","66177",0,300,4020
118,7/8/2019 0:00:00,207,"Parrotel Beach","كوب ريفييرا صغير","66169",0,200,2300
119,7/8/2019 0:00:00,208,"Parrotel Aqua Park","كوب لوليتــــا توين 75 سم3","77251",0,16000,137000
120,7/9/2019 0:00:00,209,"Royal Al Batros (Moderna)","كوب عصير 300 سم","66176",0,960,720
121,7/9/2019 0:00:00,210,"Coral Sea imperial","ملعقة ستيك 110 مم","70152",0,5000,490000
122,7/9/2019 0:00:00,210,"Coral Sea imperial","ملعقة ستار صغيرة ابيض","62141",0,12000,40000
123,7/8/2019 0:00:00,210,"Coral Sea imperial","ملعقة جيلاتى ألوان  96 مم","78153",0,6000,246000
124,7/9/2019 0:00:00,211,"Aeroangel","باول فاكيوم أبيض 90 × 90 × 30 مم","54253",0,2000,0
125,7/9/2019 0:00:00,211,"Aeroangel","ملعقة ستار صغيرة ابيض","62141",0,4000,36000
126,7/9/2019 0:00:00,212,"Parcelo","كوب عصير مارينا","66177",0,1200,2820
127,7/9/2019 0:00:00,212,"Parcelo","كوب ريفييرا صغير","66169",0,2000,300
128,7/9/2019 0:00:00,3,"Melody","علبة ويف 2عين","51336",0,200,200
129,7/9/2019 0:00:00,3,"Melody","غطاء علبه ويف 2 عين","51337",0,200,200
131,7/10/2019 0:00:00,9,"Al Rawda ( Farok Saleh)","كوب شفاف 210 جولف","1001",20000,0,20000
132,7/10/2019 0:00:00,9,"Al Rawda ( Farok Saleh)","باول ساندي صغيره شفافه ","1002",10000,0,10000
